name,precision,recall,f1_score
schubert-winterreise-audio_139,0.2488479262672811,0.5242718446601942,0.33749999999999997
billboard_732,0.2534562211981567,0.6470588235294118,0.36423841059602646
weimar_345,0.031746031746031744,0.7058823529411765,0.060759493670886074
billboard_35,0.4279661016949153,0.6273291925465838,0.508816120906801
schubert-winterreise-audio_68,0.11764705882352941,0.2524271844660194,0.16049382716049382
isophonics_92,0.14285714285714285,0.14285714285714285,0.14285714285714285
uspop2002_92,0.5497382198952879,0.7291666666666666,0.626865671641791
casd_1,1.0,0.3465160075329567,0.5146853146853146
billboard_252,0.6473214285714286,0.69377990430622,0.6697459584295612
isophonics_238,0.29120879120879123,0.7162162162162162,0.4140625
billboard_41,0.2838709677419355,0.6984126984126984,0.40366972477064217
schubert-winterreise-audio_182,0.6992481203007519,0.75,0.7237354085603113
uspop2002_173,0.49206349206349204,0.8230088495575221,0.6158940397350993
billboard_153,0.37037037037037035,0.5747126436781609,0.45045045045045046
billboard_876,0.3507853403141361,0.6633663366336634,0.45890410958904104
billboard_234,0.2111801242236025,0.6666666666666666,0.32075471698113206
schubert-winterreise-audio_208,0.1556420233463035,0.6349206349206349,0.25
weimar_173,0.19834710743801653,0.8135593220338984,0.318936877076412
weimar_218,0.07327001356852103,0.8181818181818182,0.13449564134495642
schubert-winterreise-audio_61,0.145985401459854,0.38461538461538464,0.21164021164021163
billboard_332,0.2872727272727273,0.4647058823529412,0.3550561797752809
billboard_488,0.5040983606557377,0.537117903930131,0.5200845665961945
isophonics_25,0.37423312883435583,0.782051282051282,0.5062240663900416
schubert-winterreise-audio_178,0.3776824034334764,0.6616541353383458,0.4808743169398907
weimar_294,0.0963302752293578,0.7,0.16935483870967744
billboard_863,0.5694444444444444,0.7008547008547008,0.6283524904214559
billboard_505,0.2981651376146789,0.6914893617021277,0.4166666666666667
schubert-winterreise-audio_177,0.22388059701492538,0.6428571428571429,0.3321033210332104
isophonics_236,0.4020618556701031,0.8478260869565217,0.5454545454545454
billboard_222,0.38461538461538464,0.6140350877192983,0.4729729729729729
billboard_195,0.36597938144329895,0.5,0.42261904761904756
billboard_7,0.17723880597014927,0.6551724137931034,0.2790014684287812
casd_45,0.9891891891891892,0.40939597315436244,0.5791139240506329
isophonics_121,0.4014084507042254,0.7808219178082192,0.5302325581395348
billboard_740,0.38721804511278196,0.4724770642201835,0.42561983471074377
robbie-williams_47,0.2677966101694915,0.6929824561403509,0.3863080684596577
billboard_821,0.38271604938271603,0.5794392523364486,0.46096654275092935
isophonics_277,0.35789473684210527,0.6355140186915887,0.45791245791245794
billboard_201,0.3710691823899371,0.7283950617283951,0.4916666666666666
weimar_260,0.051440329218107,0.6944444444444444,0.09578544061302682
billboard_607,0.3081761006289308,0.532608695652174,0.3904382470119522
weimar_224,0.044137931034482755,0.5,0.08111533586818757
isophonics_94,0.17073170731707318,0.5,0.2545454545454546
schubert-winterreise-audio_37,0.2708333333333333,0.75,0.39795918367346944
weimar_309,0.016574585635359115,0.6,0.03225806451612903
weimar_296,0.06578947368421052,0.5882352941176471,0.11834319526627217
billboard_19,0.3181818181818182,0.5915492957746479,0.4137931034482758
robbie-williams_53,0.5092592592592593,0.8461538461538461,0.6358381502890174
billboard_42,0.1468354430379747,0.6304347826086957,0.23819301848049282
billboard_391,0.2569832402234637,0.5609756097560976,0.3524904214559387
weimar_171,0.011627906976744186,0.6666666666666666,0.022857142857142857
schubert-winterreise-audio_46,0.39622641509433965,0.9130434782608695,0.5526315789473684
billboard_793,0.432258064516129,0.5726495726495726,0.4926470588235293
uspop2002_11,0.43653250773993807,0.6438356164383562,0.5202952029520295
isophonics_290,0.4411764705882353,0.5384615384615384,0.48498845265588914
weimar_14,0.03439153439153439,0.9285714285714286,0.06632653061224489
billboard_58,0.273542600896861,0.5754716981132075,0.3708206686930091
isophonics_222,0.328,0.7454545454545455,0.4555555555555556
weimar_363,0.2614942528735632,0.558282208588957,0.3561643835616438
billboard_89,0.2275449101796407,0.5507246376811594,0.3220338983050847
billboard_603,0.28674698795180725,0.7777777777777778,0.41901408450704225
billboard_423,0.43414634146341463,0.8557692307692307,0.576051779935275
billboard_733,0.5365853658536586,0.4971751412429379,0.5161290322580645
weimar_328,0.1085972850678733,0.6486486486486487,0.18604651162790697
casd_2,1.0,0.36682242990654207,0.5367521367521367
weimar_1,0.44541484716157204,0.6219512195121951,0.5190839694656488
billboard_631,0.21710526315789475,0.4520547945205479,0.29333333333333333
uspop2002_152,0.29891304347826086,0.4954954954954955,0.3728813559322034
weimar_432,0.04728132387706856,0.7407407407407407,0.08888888888888888
billboard_702,0.25193798449612403,0.6018518518518519,0.3551912568306011
uspop2002_2,0.24031007751937986,0.6138613861386139,0.3454038997214485
weimar_149,0.10441767068273092,0.896551724137931,0.1870503597122302
weimar_194,0.10854092526690391,0.6630434782608695,0.18654434250764523
casd_11,1.0,0.44190871369294604,0.6129496402877698
isophonics_244,0.31896551724137934,0.6166666666666667,0.42045454545454547
weimar_31,0.04835164835164835,0.6111111111111112,0.08961303462321792
billboard_516,0.25203252032520324,0.6526315789473685,0.36363636363636365
billboard_406,0.4829059829059829,0.7847222222222222,0.5978835978835979
weimar_157,0.1105121293800539,0.6212121212121212,0.18764302059496568
billboard_504,0.3515625,0.6976744186046512,0.46753246753246763
weimar_453,0.09051724137931035,0.7777777777777778,0.16216216216216214
schubert-winterreise-audio_13,0.29464285714285715,0.6346153846153846,0.40243902439024387
isophonics_167,0.2127659574468085,0.6153846153846154,0.31620553359683795
billboard_647,0.2618110236220472,0.7823529411764706,0.392330383480826
billboard_238,0.6083916083916084,0.8055555555555556,0.6932270916334661
uspop2002_13,0.20350877192982456,0.6744186046511628,0.31266846361185985
billboard_299,0.6848484848484848,0.740983606557377,0.7118110236220472
weimar_200,0.18085106382978725,0.5944055944055944,0.2773246329526917
weimar_274,0.03924221921515562,0.58,0.07351077313054499
robbie-williams_43,0.3584905660377358,0.8050847457627118,0.49608355091383805
billboard_521,0.42142857142857143,0.5175438596491229,0.4645669291338583
billboard_594,0.5043859649122807,0.8394160583941606,0.6301369863013698
weimar_270,0.1278538812785388,0.6086956521739131,0.2113207547169811
billboard_413,0.6229508196721312,0.6386554621848739,0.6307053941908713
isophonics_115,0.6721311475409836,0.803921568627451,0.7321428571428572
billboard_615,0.30566037735849055,0.6694214876033058,0.41968911917098445
billboard_9,0.46153846153846156,0.39069767441860465,0.4231738035264484
